A̱o	biomasa	low	up
2000	30596.59	29397.91045	31795.26955
2001	32646.8	29447.86739	35845.73261
2002	37173.52	34053.09295	40293.94705
2003	35916.97	29524.89509	42309.04491
2004	33770.32	31732.28119	35808.35881
2005	30028.14	26408.68914	33647.59086
2006	37054.86	33645.4201	40464.2999
2007	33754.76	25922.07933	41587.44067
2008	29146.52	24126.42249	34166.61751
2009	31955.54	30594.46088	33316.61912
2010	32228.65	28031.13906	36426.16094
2011	34358.91	27483.88108	41233.93892
2012	32760.64	29548.97031	35972.30969
2013	43925.92	35157.72655	52694.11345
2014	41623.29	36297.35695	46949.22305
2015	34025.37	29033.9537	39016.7863
2016	45569.18	43912.73773	47225.62227
2017	50061.95	48639.2319	51484.6681
2018	50707.08	41845.46506	59568.69494
2019	58930.33	54264.85703	63595.80297
2020	75393.76	69991.39751	80796.12249
2021	69911.08	63242.2481	76579.9119
2022	69254.43	54671.48312	83837.37688
